date,month,year,week,quarter,fiscal_year,fiscal_period,period_name,start_date,end_date,field_11_raw,field_12_raw,field_13_raw,field_14_raw,field_15_raw,field_16_raw,field_17
20210508,May 8,,,,,,,,,,,,,,,
20220508,May 8,,,,,,,,,,,,,,,
20190508,May 8,,,,,,,,,,,,,,,
20180508,May 8,,,,,,,,,,,,,,,
20200509,May 9,,,,,,,,,,,,,,,
20190509,May 9,,,,,,,,,,,,,,,
20180509,May 9,,,,,,,,,,,,,,,
20220509,May 9,,,,,,,,,,,,,,,
20210509,May 9,,,,,,,,,,,,,,,
20221101,Nov 1,,,,,,,,,,,,,,,
20181101,Nov 1,,,,,,,,,,,,,,,
20191101,Nov 1,,,,,,,,,,,,,,,
20211101,Nov 1,,,,,,,,,,,,,,,
20201101,Nov 1,,,,,,,,,,,,,,,
20211102,Nov 2,,,,,,,,,,,,,,,
20191102,Nov 2,,,,,,,,,,,,,,,
20221102,Nov 2,,,,,,,,,,,,,,,
20181102,Nov 2,,,,,,,,,,,,,,,
20201102,Nov 2,,,,,,,,,,,,,,,
20191103,Nov 3,,,,,,,,,,,,,,,
20221103,Nov 3,,,,,,,,,,,,,,,
20201103,Nov 3,,,,,,,,,,,,,,,
20211103,Nov 3,,,,,,,,,,,,,,,
20181103,Nov 3,,,,,,,,,,,,,,,
20201104,Nov 4,,,,,,,,,,,,,,,
20191104,Nov 4,,,,,,,,,,,,,,,
20211104,Nov 4,,,,,,,,,,,,,,,
20181104,Nov 4,,,,,,,,,,,,,,,
20221104,Nov 4,,,,,,,,,,,,,,,
20211105,Nov 5,,,,,,,,,,,,,,,
20201105,Nov 5,,,,,,,,,,,,,,,
20181105,Nov 5,,,,,,,,,,,,,,,
20221105,Nov 5,,,,,,,,,,,,,,,
20191105,Nov 5,,,,,,,,,,,,,,,
20211106,Nov 6,,,,,,,,,,,,,,,
20181106,Nov 6,,,,,,,,,,,,,,,
20221106,Nov 6,,,,,,,,,,,,,,,
20201106,Nov 6,,,,,,,,,,,,,,,
20191106,Nov 6,,,,,,,,,,,,,,,
20181107,Nov 7,,,,,,,,,,,,,,,
20211107,Nov 7,,,,,,,,,,,,,,,
20221107,Nov 7,,,,,,,,,,,,,,,
20201107,Nov 7,,,,,,,,,,,,,,,
20191107,Nov 7,,,,,,,,,,,,,,,
20211108,Nov 8,,,,,,,,,,,,,,,
20191108,Nov 8,,,,,,,,,,,,,,,
20221108,Nov 8,,,,,,,,,,,,,,,
20201108,Nov 8,,,,,,,,,,,,,,,
20181108,Nov 8,,,,,,,,,,,,,,,
20191109,Nov 9,,,,,,,,,,,,,,,
20221109,Nov 9,,,,,,,,,,,,,,,
20201109,Nov 9,,,,,,,,,,,,,,,
20211109,Nov 9,,,,,,,,,,,,,,,
20181109,Nov 9,,,,,,,,,,,,,,,
20181001,Oct 1,,,,,,,,,,,,,,,
20191001,Oct 1,,,,,,,,,,,,,,,
20201001,Oct 1,,,,,,,,,,,,,,,
20211001,Oct 1,,,,,,,,,,,,,,,
20221001,Oct 1,,,,,,,,,,,,,,,
20201002,Oct 2,,,,,,,,,,,,,,,
20181002,Oct 2,,,,,,,,,,,,,,,
20211002,Oct 2,,,,,,,,,,,,,,,
20191002,Oct 2,,,,,,,,,,,,,,,
20221002,Oct 2,,,,,,,,,,,,,,,
20201003,Oct 3,,,,,,,,,,,,,,,
20181003,Oct 3,,,,,,,,,,,,,,,
20211003,Oct 3,,,,,,,,,,,,,,,
20221003,Oct 3,,,,,,,,,,,,,,,
20191003,Oct 3,,,,,,,,,,,,,,,
20211004,Oct 4,,,,,,,,,,,,,,,
20191004,Oct 4,,,,,,,,,,,,,,,
20221004,Oct 4,,,,,,,,,,,,,,,
20201004,Oct 4,,,,,,,,,,,,,,,
20181004,Oct 4,,,,,,,,,,,,,,,
20181005,Oct 5,,,,,,,,,,,,,,,
20211005,Oct 5,,,,,,,,,,,,,,,
20221005,Oct 5,,,,,,,,,,,,,,,
20191005,Oct 5,,,,,,,,,,,,,,,
20201005,Oct 5,,,,,,,,,,,,,,,
20211006,Oct 6,,,,,,,,,,,,,,,
20181006,Oct 6,,,,,,,,,,,,,,,
20201006,Oct 6,,,,,,,,,,,,,,,
20221006,Oct 6,,,,,,,,,,,,,,,
20191006,Oct 6,,,,,,,,,,,,,,,
20191007,Oct 7,,,,,,,,,,,,,,,
20211007,Oct 7,,,,,,,,,,,,,,,
20201007,Oct 7,,,,,,,,,,,,,,,
20181007,Oct 7,,,,,,,,,,,,,,,
20221007,Oct 7,,,,,,,,,,,,,,,
20181008,Oct 8,,,,,,,,,,,,,,,
20211008,Oct 8,,,,,,,,,,,,,,,
20191008,Oct 8,,,,,,,,,,,,,,,
20221008,Oct 8,,,,,,,,,,,,,,,
20201008,Oct 8,,,,,,,,,,,,,,,
20221009,Oct 9,,,,,,,,,,,,,,,
20181009,Oct 9,,,,,,,,,,,,,,,
20211009,Oct 9,,,,,,,,,,,,,,,
20191009,Oct 9,,,,,,,,,,,,,,,
20201009,Oct 9,,,,,,,,,,,,,,,
20190901,Sep 1,,,,,,,,,,,,,,,
20180901,Sep 1,,,,,,,,,,,,,,,
20210901,Sep 1,,,,,,,,,,,,,,,
20220901,Sep 1,,,,,,,,,,,,,,,
20200901,Sep 1,,,,,,,,,,,,,,,
20190902,Sep 2,,,,,,,,,,,,,,,
20200902,Sep 2,,,,,,,,,,,,,,,
20220902,Sep 2,,,,,,,,,,,,,,,
